date,price,volume,company
2014-11-06,$75.26,21321380,META
2014-11-06,$48.70,33033070,MSFT
2014-11-07,$27.2525,134621120,AAPL
2014-11-07,$27.591,31779960,GOOGL
2014-11-07,$75.60,20757430,META
2014-11-07,$48.68,27987700,MSFT
2014-11-10,$27.2075,108264240,AAPL
2014-11-10,$27.9115,25963200,GOOGL
2014-11-10,$75.00,21526460,META
2014-11-10,$48.89,36364840,MSFT
2014-11-11,$27.425,109321640,AAPL
2014-11-11,$28.0645,21934300,GOOGL
2014-11-11,$74.61,18702040,META
2014-11-11,$48.87,22180480,MSFT
2014-11-12,$27.8125,185490520,AAPL
2014-11-12,$27.9125,21824140,GOOGL
2014-11-12,$74.72,26497580,META
2014-11-12,$48.78,22721330,MSFT
2014-11-13,$28.205,237672720,AAPL
2014-11-13,$27.822,30188240,GOOGL
2014-11-13,$74.25,26408940,META
2014-11-13,$49.61,26207930,MSFT
2014-11-14,$28.545,175156240,AAPL
2014-11-14,$27.7595,28482820,GOOGL
2014-11-14,$74.88,19416910,META
2014-11-14,$49.58,29074940,MSFT
2014-11-17,$28.4975,186750840,AAPL
2014-11-17,$27.332,33459300,GOOGL
2014-11-17,$74.24,28669580,META
2014-11-17,$49.46,30309630,MSFT
2014-11-18,$28.8675,176653000,AAPL
2014-11-18,$27.2255,36422280,GOOGL
2014-11-18,$74.34,20678330,META
2014-11-18,$48.74,23938060,MSFT
2014-11-19,$28.6675,167262200,AAPL
2014-11-19,$27.36,30285080,GOOGL
2014-11-19,$73.33,25401630,META
2014-11-19,$48.22,26166200,MSFT
2014-11-20,$29.0775,172594600,AAPL
2014-11-20,$27.188,34999860,GOOGL
2014-11-20,$73.60,19128520,META
2014-11-20,$48.70,21486310,MSFT
2014-11-21,$29.1175,227037280,AAPL
2014-11-21,$27.2945,49909640,GOOGL
2014-11-21,$73.75,23039660,META
2014-11-21,$47.98,42867970,MSFT
2014-11-24,$29.6563,187469360,AAPL
2014-11-24,$27.374,33023560,GOOGL
2014-11-24,$74.01,22080500,META
2014-11-24,$47.59,34266860,MSFT
2014-11-25,$29.40,274879720,AAPL
2014-11-25,$27.4615,38037340,GOOGL
2014-11-25,$75.63,32199750,META
2014-11-25,$47.47,27951120,MSFT
2014-11-26,$29.75,163027800,AAPL
2014-11-26,$27.3865,29604440,GOOGL
2014-11-26,$77.62,32686400,META
2014-11-26,$47.75,27162850,MSFT
2014-11-28,$29.7325,99257600,AAPL
2014-11-28,$27.454,24201220,GOOGL
2014-11-28,$77.70,15992040,META
2014-11-28,$47.81,21534430,MSFT
2014-12-01,$28.7675,334631120,AAPL
2014-12-01,$26.9825,39834540,GOOGL
2014-12-01,$75.10,31747970,META
2014-12-01,$48.62,31187680,MSFT
2014-12-02,$28.6575,236821280,AAPL
2014-12-02,$26.9295,41474920,GOOGL
2014-12-02,$75.46,16750770,META
2014-12-02,$48.46,25768100,MSFT
2014-12-03,$28.9825,171824800,AAPL
2014-12-03,$26.8485,32479540,GOOGL
2014-12-03,$74.88,15936750,META
2014-12-03,$48.08,23528130,MSFT
2014-12-04,$28.8725,168272080,AAPL
2014-12-04,$27.129,32616200,GOOGL
2014-12-04,$75.24,14369110,META
2014-12-04,$48.84,30342050,MSFT
2014-12-05,$28.75,152923880,AAPL
2014-12-05,$26.404,61340500,GOOGL
2014-12-05,$76.36,24273070,META
2014-12-05,$48.42,26705270,MSFT
2014-12-08,$28.10,229780120,AAPL
2014-12-08,$26.5365,64622280,GOOGL
2014-12-08,$76.52,25674150,META
2014-12-08,$47.695,26652610,MSFT
2014-12-09,$28.53,240448960,AAPL
2014-12-09,$26.8055,43329740,GOOGL
2014-12-09,$76.84,25307530,META
2014-12-09,$47.59,24326090,MSFT
2014-12-10,$27.9875,177901440,AAPL
2014-12-10,$26.402,46301400,GOOGL
2014-12-10,$76.18,32168400,META
2014-12-10,$46.90,30284690,MSFT
2014-12-11,$27.905,165618760,AAPL
2014-12-11,$26.6055,41425380,GOOGL
2014-12-11,$77.73,33465080,META
2014-12-11,$47.17,29060360,MSFT
2014-12-12,$27.4325,223495280,AAPL
2014-12-12,$26.0755,47407140,GOOGL
2014-12-12,$77.83,28049760,META
2014-12-12,$46.95,34247280,MSFT
2014-12-15,$27.0562,268333040,AAPL
2014-12-15,$25.792,52362260,GOOGL
2014-12-15,$76.99,29341660,META
2014-12-15,$46.67,29213490,MSFT
2014-12-16,$26.6863,242607160,AAPL
2014-12-16,$24.908,86860140,GOOGL
2014-12-16,$74.69,31466710,META
2014-12-16,$45.16,47764300,MSFT
2014-12-17,$27.3525,213063720,AAPL
2014-12-17,$25.3225,72730200,GOOGL
2014-12-17,$76.11,29142380,META
2014-12-17,$45.74,34967260,MSFT
2014-12-18,$28.1625,235142360,AAPL
2014-12-18,$25.731,77466340,GOOGL
2014-12-18,$78.40,34147520,META
2014-12-18,$47.52,40031480,MSFT
2014-12-19,$27.945,346383320,AAPL
2014-12-19,$26.002,96083660,GOOGL
2014-12-19,$79.88,43274930,META
2014-12-19,$47.66,64504160,MSFT
2014-12-22,$28.235,180388240,AAPL
2014-12-22,$26.615,66312640,GOOGL
2014-12-22,$81.45,31361040,META
2014-12-22,$47.98,26561880,MSFT
2014-12-23,$28.135,103964120,AAPL
2014-12-23,$26.9385,57543860,GOOGL
2014-12-23,$80.61,19846990,META
2014-12-23,$48.45,23654190,MSFT
2014-12-24,$28.0025,57918440,AAPL
2014-12-24,$26.8465,14756960,GOOGL
2014-12-24,$80.77,7685481,META
2014-12-24,$48.14,11442790,MSFT
2014-12-26,$28.4975,134724800,AAPL
2014-12-26,$27.076,22268500,GOOGL
2014-12-26,$80.775,10632810,META
2014-12-26,$47.88,13197120,MSFT
2014-12-29,$28.4775,110133720,AAPL
2014-12-29,$26.8655,44356560,GOOGL
2014-12-29,$80.02,14101570,META
2014-12-29,$47.45,14417170,MSFT
2014-12-30,$28.13,119194640,AAPL
2014-12-30,$26.764,20933720,GOOGL
2014-12-30,$79.22,14354170,META
2014-12-30,$47.02,16380820,MSFT
2014-12-31,$27.595,165219120,AAPL
2014-12-31,$26.533,24717780,GOOGL
2014-12-31,$78.02,20004710,META
2014-12-31,$46.45,21551090,MSFT
2015-01-02,$27.3325,212575080,AAPL
2015-01-02,$26.4775,26505420,GOOGL
2015-01-02,$78.45,18141830,META
2015-01-02,$46.76,27843560,MSFT
2015-01-05,$26.5625,256843520,AAPL
2015-01-05,$25.973,41082400,GOOGL
2015-01-05,$77.19,26392340,META
2015-01-05,$46.325,39667400,MSFT
2015-01-06,$26.565,262729000,AAPL
2015-01-06,$25.332,54557940,GOOGL
2015-01-06,$76.15,27365180,META
2015-01-06,$45.65,36434980,MSFT
2015-01-07,$26.9375,159933400,AAPL
2015-01-07,$25.2575,46901240,GOOGL
2015-01-07,$76.15,22015250,META
2015-01-07,$46.23,29103920,MSFT
2015-01-08,$27.9725,236675040,AAPL
2015-01-08,$25.3455,73236320,GOOGL
2015-01-08,$78.175,23931830,META
2015-01-08,$47.59,29634030,MSFT
2015-01-09,$28.0025,214582920,AAPL
2015-01-09,$25.036,41942740,GOOGL
2015-01-09,$77.74,21146060,META
2015-01-09,$47.19,23942750,MSFT
2015-01-12,$27.3125,198284680,AAPL
2015-01-12,$24.853,57106960,GOOGL
2015-01-12,$76.72,19150390,META
2015-01-12,$46.60,23623970,MSFT
2015-01-13,$27.555,267879920,AAPL
2015-01-13,$25.09,60996900,GOOGL
2015-01-13,$76.45,25149270,META
2015-01-13,$46.355,35258300,MSFT
2015-01-14,$27.45,194912760,AAPL
2015-01-14,$25.2965,52679140,GOOGL
2015-01-14,$76.28,25831690,META
2015-01-14,$45.955,29713190,MSFT
2015-01-15,$26.705,239233880,AAPL
2015-01-15,$25.2005,51079560,GOOGL
2015-01-15,$74.05,34058150,META
2015-01-15,$45.48,32744260,MSFT
2015-01-16,$26.4975,313813320,AAPL
2015-01-16,$25.5228,49653500,GOOGL
2015-01-16,$75.18,21744680,META
2015-01-16,$46.24,35683380,MSFT
2015-01-20,$27.18,198969280,AAPL
2015-01-20,$25.497,46807580,GOOGL
2015-01-20,$76.24,22765930,META
2015-01-20,$46.39,36121800,MSFT
2015-01-21,$27.3875,193931440,AAPL
2015-01-21,$26.0195,46338560,GOOGL
2015-01-21,$76.74,25079200,META
2015-01-21,$45.92,37113740,MSFT
2015-01-22,$28.10,214869760,AAPL
2015-01-22,$26.865,55987600,GOOGL
2015-01-22,$77.65,19491720,META
2015-01-22,$47.13,35842790,MSFT
2015-01-23,$28.245,185680080,AAPL
2015-01-23,$27.0975,45919760,GOOGL
2015-01-23,$77.83,16711610,META
2015-01-23,$47.18,26136690,MSFT
2015-01-26,$28.275,221829680,AAPL
2015-01-26,$26.836,30925020,GOOGL
2015-01-26,$77.495,19229120,META
2015-01-26,$47.01,40995700,MSFT
2015-01-27,$27.285,369306560,AAPL
2015-01-27,$26.0595,39125840,GOOGL
2015-01-27,$75.78,19982990,META
2015-01-27,$42.66,169115000,MSFT
2015-01-28,$28.8275,584737200,AAPL
2015-01-28,$25.6215,35684740,GOOGL
2015-01-28,$76.24,51281680,META
2015-01-28,$41.19,84453280,MSFT
2015-01-29,$29.725,336528520,AAPL
2015-01-29,$25.6615,77798500,GOOGL
2015-01-29,$78.00,60670160,META
2015-01-29,$42.01,63551980,MSFT
2015-01-30,$29.29,334587200,AAPL
2015-01-30,$26.8775,121073200,GOOGL
2015-01-30,$75.91,42540890,META
2015-01-30,$40.40,77983360,MSFT
2015-02-02,$29.6575,250169760,AAPL
2015-02-02,$26.61,75306740,GOOGL
2015-02-02,$74.99,41901530,META
2015-02-02,$41.28,50274250,MSFT
2015-02-03,$29.6625,207368320,AAPL
2015-02-03,$26.665,47048740,GOOGL
2015-02-03,$75.40,26921640,META
2015-02-03,$41.60,52068450,MSFT
2015-02-04,$29.89,279900720,AAPL
2015-02-04,$26.305,33850620,GOOGL
2015-02-04,$75.63,20246640,META
2015-02-04,$41.84,41585310,MSFT
2015-02-05,$29.985,168788440,AAPL
2015-02-05,$26.4915,33171140,GOOGL
2015-02-05,$75.615,15002820,META
2015-02-05,$42.45,36543020,MSFT
2015-02-06,$29.7325,174534640,AAPL
2015-02-06,$26.6938,42894460,GOOGL
2015-02-06,$74.47,21131450,META
2015-02-06,$42.41,34612420,MSFT
2015-02-09,$29.93,151603120,AAPL
2015-02-09,$26.464,30276200,GOOGL
2015-02-09,$74.44,16182700,META
2015-02-09,$42.36,27416280,MSFT
2015-02-10,$30.505,247381560,AAPL
2015-02-10,$27.008,47351440,GOOGL
2015-02-10,$75.19,15783750,META
2015-02-10,$42.60,29655280,MSFT
2015-02-11,$31.22,293112080,AAPL
2015-02-11,$26.90,38281860,GOOGL
2015-02-11,$76.51,20817690,META
2015-02-11,$42.38,38248500,MSFT
2015-02-12,$31.615,297498520,AAPL
2015-02-12,$27.3005,48545100,GOOGL
2015-02-12,$76.23,17212100,META
2015-02-12,$43.09,33238000,MSFT
2015-02-13,$31.77,215822600,AAPL
2015-02-13,$27.558,45973200,GOOGL
2015-02-13,$75.74,18487260,META
2015-02-13,$43.87,40112080,MSFT
2015-02-17,$31.9575,252056440,AAPL
2015-02-17,$27.2505,39150320,GOOGL
2015-02-17,$75.60,25243920,META
2015-02-17,$43.58,33692870,MSFT
2015-02-18,$32.1788,178783920,AAPL
2015-02-18,$27.1325,29240300,GOOGL
2015-02-18,$76.71,22410540,META
2015-02-18,$43.53,27105640,MSFT
2015-02-19,$32.1125,149181840,AAPL
2015-02-19,$27.3225,30833280,GOOGL
2015-02-19,$79.42,45778750,META
2015-02-19,$43.50,27598050,MSFT
2015-02-20,$32.3738,195513640,AAPL
2015-02-20,$27.09,38233220,GOOGL
2015-02-20,$79.895,36904680,META
2015-02-20,$43.855,29710140,MSFT
2015-02-23,$33.25,292357000,AAPL
2015-02-23,$26.75,32850580,GOOGL
2015-02-23,$78.84,24105020,META
2015-02-23,$44.15,32510550,MSFT
2015-02-24,$33.0425,276437640,AAPL
2015-02-24,$26.9325,28427260,GOOGL
